Course Title,Course Num,UTD Semester,Transfer/Waiver,Grade
Information Security,CS 6324,S20,Y,A
Design and Analysis of Computer Algorithms,CS 6363,S20,blank,A
Advanced Operating Systems,CS 6378,S20,blank,A
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
System Security & Malicious Code Analysis,CS 6332,S20,Y,A
Data and Applications Security,CS 6348,S20,Y,A
Network Security,CS 6349,S20,blank,A
Introduction to Cryptogaphy,CS 6377,S20,blank,A
blank,blank,blank,blank,blank
Elective 1,CS 6332,S20,Y,A
Elective 2,CS 6332,S20,blank,A
blank,blank,blank,blank,blank
Elective 3,CS 6332,S20,blank,A
Elective 4,CS 6332,S20,blank,A
Elective 5,CS 6332,S20,Y,A
Elective 6,CS 6332,S20,blank,A
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
Prereq 1,CS 6332,S20,blank,A
Prereq 2,CS 6332,S20,Y,A
Prereq 3,CS 6332,S20,blank,A
Prereq 4,CS 6332,S20,Y,A
Prereq 5,CS 6332,S20,blank,A
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
