Course Title,Course Num,UTD Semester,Transfer/Waiver,Grade
Human Computer Interaction,CS 6326,U20,blank,B
Design and Analysis of Computer Algorithms,CS 6363,U20,Y,B
blank,blank,blank,blank,blank
Computer Animation and Gaming,CS 6323,U20,blank,B
Modeling and Simulation,CS 6328,U20,blank,B
Multimedia Systems,CS 6331,U20,blank,B
Virtual Reality,CS 6334,U20,blank,B
Computer Graphics,CS 6366,U20,blank,B
blank,blank,blank,blank,blank
Elective 1,CS 5000,U20,blank,B
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
Elective 2,CS 5000,U20,Y,B
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
Other 1,CS 5000,U20,blank,B
blank,blank,blank,blank,blank
Computer Science I,CS 5303,U20,blank,B
Computer Science II,CS 5330,U20,blank,B
Discrete Structures,CS 5333,U20,Y,B
Algorithm Analysis and Data Structures,CS 5343,U20,blank,B
Operating System Concepts,CS 5348,U20,blank,B
blank,blank,blank,blank,blank
