Course Title,Course Num,UTD Semester,Transfer/Waiver,Grade
Perf. of Computer Systems and Networks,CS 6352,S20,blank,A
Design and Analysis of Computer Algorithms,CS 6363,S20,blank,A
Advanced Operating Systems,CS 6378,S20,blank,A
Algorithmic Aspects of Telecom Networks,CS 6385,S20,blank,A
Advanced Computer Networks,CS 6390,S20,blank,A
blank,blank,blank,blank,blank
Elective 1,CS 1111,S20,blank,A
Elective 2,CS 1111,S20,blank,A
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
Elective 3,CS 1111,S20,blank,A
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
Computer Science I,CS 5303,S20,blank,A
Computer Science II,CS 5330,S20,blank,A
Discrete Structures,CS 5333,S20,blank,A
Algorithm Analysis and Data Structures,CS 5343,S20,blank,A
Operating System Concepts,CS 5348,S20,blank,A
Computer Networks,CS 5390,S20,blank,A
Probability and Statistics,CS 3341,S20,blank,A
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
