Course Title,Course Num,UTD Semester,Transfer/Waiver,Grade
Object Oriented Software Engineering,SE 6329,S20,blank,A
Advanced Requirements Enginrg,SE 6361,S20,blank,A
Advanced Software Architecture and Design,SE 6362,S20,blank,A
Software Testing، Validation، Verificaiton,SE 6367,S20,blank,A
Advanceed Software Engineering Project,SE 6387,S20,blank,A
blank,blank,blank,blank,blank
Elective 1,SE 1111,S20,blank,A
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
Elective 2,SE 1111,S20,blank,A
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
Computer Science I,CS 5303,S20,blank,A
Computer Science II,CS 5330,S20,blank,A
Discrete Structures,CS 5333,S20,blank,A
Algorithm Analysis and Data Structures,CS 5343,S20,blank,A
Operating System Concepts,CS 5348,S20,blank,A
Software Engineering,CS 5354,S20,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
