Course Title,Course Num,UTD Semester,Transfer/Waiver,Grade
Design and Analysis of Computer Algorithms,CS 6363,S20,blank,A
Advanced Operating Systems,CS 6378,S20,Y,A
Advanced Computer Networks,CS 6390,S20,blank,A
blank,blank,blank,blank,blank
Compiler Construction,CS 6353,S20,blank,A
Database Design,CS 6360,S20,blank,A
Advanced Programming Languages,CS 6371,S20,blank,A
blank,blank,blank,blank,blank
Elective 1,CS 1111,S20,blank,A
Elective 2,CS 1111,S20,blank,A
Elective 3,CS 1111,S20,blank,A
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
Elective 4,CS 1111,S20,blank,A
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
blank,blank,blank,blank,blank
Computer Science I,CS 5303,S20,blank,A
Computer Science II,CS 5330,S20,blank,A
Discrete Structures,CS 5333,S20,blank,A
Algorithm Analysis and Data Structures,CS 5343,S20,blank,A
Operating System Concepts,CS 5348,S20,blank,A
Automata Theory,CS 5349,S20,blank,A
Computer Networks,CS 5390,S20,blank,A
blank,blank,blank,blank,blank
