Course Title, Course Num, UTD Semester, Transfer/Waiver, Grade
Statistical Methods for Data Science, CS6313, Spr2022, No, A-
Big Data Management and Analytics, CS6350, Sum2022, No, B+
Design and Analysis of Computer Algorithms, CS6363, Fall2021, No, B
Machine Learning, CS6375, Fall 2021, Yes, C+
 , , , , 
Social Media Analytics, CS6301, Spr2022, No, A
Natural Language Processing, CS6320, Fall2021, Yes, B
Video Analytics, CS6327, Fall2022, No, B+
Statistics for Machine Learning, CS6347, Spr2021, No, B-
Database Design, CS6360, Spr2021, No, B
 , , , ,  
Approved Course 1, CS63XX, Spr2021, No, B
Approved Course 2, CS73XX, Spr2022, No, A
Approved COurse 3, CS63XX, Fall2022, No, C+
Approved Course 4, CS63XX, Fall2021, Yes, B
Approved Course 5, CS73XX, Fall2022, No, A-
Approved Course 6, SE63XX, Spr2020, No, B+
Approved COurse 7, MATH63XX, Spr2021, No, C+
Approved Course 8, CS63XX, Fall2020, Yes, A-
 , , , , 
 , , , , 
Computer Science I, CS5303, , Yes, 
Computer Science II, CS5330, , Yes, 
Discrete Structures, CS5333, Fall2020, No, B+
Algorithm Analysis & Data Structures, CS5343, Spr2021, No, B+
Operating Systems Concepts, CS5348, , Yes, 
Probability and Statistics in CS, CS3341, , Yes, 

